"","form_id","X2_Team_Member_1","X3_Team_Member_2","X4_Team_Member_3","X5_Team_Member_4","X9_Date_of_survey","HabitatBranch","X7_Cell_ID","X8_Transect_ID","Segment_ID","New_segment","Time","Lat_segment","Long_segment","accuracy_21_Location","X23_Weather_Condition","X25_Landcover_100m","X26_Terrain","X29_Short_Grass_less_","X30_Tall_Grass_less_t","X31_Shrub_less_than_2","X32_Tree_more_than_2m","X33_Agriculture","X34_3_Dominant_Plants","X35_Name_of_species_i","X38_Spinytailed_Lizar","Human","Livestock","Machinery","Dog","No_active_disturbance","Farm_hut","Powerline","Settlement","Water_source","Fence","Industrial_uses","Road","No_infrastructure","Soil","Sand","Gravel","Rocky","Flat","Sloping","Undulating","Scrubland","Grassland","Woodland","Fallow","Agriculture","Agriculture_active","Agriculture_inactive","X65_Point_Count_List_"
"1","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"5a1afed5-16d7-49f3-a78e-4988c7ec4063","BK1","A",1,1,08:52:00,28.07407,73.47961,NA,"Sunny","Scrubland","Undulating","10-20","0","20-40","1-10","0","Burhia Rattlepod/ ChughCrotalaria burhia, Khejri/ Prosopis cineraria, Kheemp/ Leptadenia pyrotechnica","","Absent",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,"All Birds recorded"
"2","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"7297888b-0dbe-49b2-b7e9-231ac44984a4","BK1","A",2,2,09:13:00,28.08774,73.4816,NA,"Sunny","Agriculture, Scrubland","Undulating","10-20","0","20-40","1-10","0","Phog/ Calligonum polygonoides, Khejri/ Prosopis cineraria, Isab gol / Plantago ovata","","Absent",1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,"All Birds recorded"
"3","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"8d85db9f-afaf-46d8-aa5e-56dbd3b782d2","BK1","A",3,3,09:45:00,28.10238,73.50564,NA,"Sunny","Scrubland","Undulating","10-20","0","20-40","1-10","0","Burhia Rattlepod/ ChughCrotalaria burhia, Khejri/ Prosopis cineraria","","Absent",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"All Birds recorded"
"4","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"8a316695-d713-46ea-938c-8f9996cc9eb6","BK1","A",4,4,10:17:00,28.11389,73.50564,NA,"Sunny","Agriculture","Undulating","0","0","1-10","1-10","40-60","Khejri/ Prosopis cineraria, Prosopis juliflora, Isab gol / Plantago ovata","","Absent",1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,"All Birds recorded"
"5","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"7296bf81-ea65-45d3-aec3-70c8be3828a1","BK1","A",5,5,10:47:00,28.1214,73.49891,NA,"Sunny","Scrubland","Flat","1-10","0","40-60","1-10","0","Khejri/ Prosopis cineraria, Burhia Rattlepod/ ChughCrotalaria burhia, Gum Arabic/ Babool/  keekarAcacia nilotica","","Absent",0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"All Birds recorded"
"6","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"209b0247-7d48-4d00-a1fb-a99f8cff0eb5","BK1","A",6,6,11:15:00,28.13028,73.5011,NA,"Sunny","Agriculture, Scrubland","Undulating","1-10","1-10","20-40","1-10","0","Burhia Rattlepod/ ChughCrotalaria burhia, Kheemp/ Leptadenia pyrotechnica, Gum Arabic/ Babool/  keekarAcacia nilotica","","Absent",0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,"All Birds recorded"
"7","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"9d6e3b30-fd95-43e3-84f8-723583c39716","BK1","A",7,7,11:20:33,28.14081,73.50327,NA,"Sunny","Scrubland","Flat","0","0","40-60","1-10","0","Burhia Rattlepod/ ChughCrotalaria burhia","","Absent",0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"All Birds recorded"
"8","8e2bd2cd-78fd-49a4-bd8d-c93c0829ce85","Sutirtha","Vikas","Ayan","Gulab",2021-02-16,"1709f1e5-3ba4-4586-925f-41e8133a0758","BK1","A",8,8,11:23:26,28.15898,73.50051,NA,"Sunny","Agriculture, Scrubland","Flat","0","0","10-20","1-10","40-60","Burhia Rattlepod/ ChughCrotalaria burhia, Chana / Bengal Gram / Cicer arietinum, Mustard / Brassica nigra / Sarso","","Absent",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,"All Birds recorded"
"9","68f9255f-00b2-4464-b813-f5d62d17f3a1","Mohib","Karan","Aaradin","",2021-02-22,"252d6ef6-f082-4af7-8522-02caf2114b1c","BK101","A",1,1,07:37:14,28.235349,72.673362,4,"Cloudy","Scrubland","Undulating","0","0","10-20","1-10","0","Bhui/ Aerva pseudotomentosa, Kheemp/ Leptadenia pyrotechnica, Phog/ Calligonum polygonoides","","Absent",1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,"All Birds recorded"
"10","68f9255f-00b2-4464-b813-f5d62d17f3a1","Mohib","Karan","Aaradin","",2021-02-22,"c6428524-2ff5-4f77-a02b-944f4def470c","BK101","A",2,2,07:55:15,28.23742,72.654019,4,"Sunny","Barren/Fallow","Undulating","0","0","1-10","0","0","Kheemp/ Leptadenia pyrotechnica, Bhui/ Aerva pseudotomentosa, Phog/ Calligonum polygonoides","","Absent",1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,"All Birds recorded"
